,url,location,bed,bath,area,price
22625,https://www.rumah.com/listing-properti/dijual-rumah-modern-murah-siap-huni-free-biaya-biaya-akses-stasiun-mrt-lebak-bulus-oleh-suharto-gunadis-18007597,"Pamulang Pondok Cabe udik, Ciputat Timur, Tangerang Selatan, Banten",4.0,3.0,105 m²,"1,9 M"
864,https://www.rumah.com/listing-properti/dijual-cluster-omaha-billage-oleh-richard-allan-20066928,"Cluster Omaha Village Illago Serpong, Serpong Utara, Tangerang Selatan, Banten",3.0,3.0,108 m²,"2,458 M"
19249,https://www.rumah.com/listing-properti/dijual-new-strozzi-extention-6x12-lokasi-di-jalan-boulevard-3-5-luxury-mewah-oleh-gaspro-21691681,"Medang, Kabupaten Tangerang, Banten, BSD, Tangerang Selatan, Banten",3.0,2.0,92 m²,"2,4 M"
28826,https://www.rumah.com/listing-properti/dijual-pondok-karya-pondok-aren-tangerang-selatan-oleh-eryawan-kurnia-20521815,"Pondok Karya, Pondok Aren Tangerang Selatan, Pondok Aren, Tangerang Selatan, Banten",6.0,5.0,870 m²,14 M
8298,https://www.rumah.com/listing-properti/dijual-cluster-faraday-scientia-summarecon-serpong-oleh-ricky-halim-20800447,"Cluster Faraday, Scientia, Summarecon Serpong, Gading Serpong, Tangerang Selatan, Banten",4.0,4.0,127 m²,"2,675 M"
22874,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-siap-huni-griya-loka-sektor-1-4-oleh-fanny-beatrix-20574825,"GRIYA LOKA BSD CITY - TANGERANG SELATAN, BSD, Tangerang Selatan, Banten",4.0,3.0,126 m²,"2,3 M"
6982,https://www.rumah.com/listing-properti/dijual-bintaro-jaya-pondok-betung-pondok-aren-tangerang-selatan-oleh-aprimila-hr-21793465,"Jalan Camar, Bintaro, Tangerang Selatan, Banten",5.0,3.0,300 m²,6 M
2226,https://www.rumah.com/listing-properti/dijual-rumah-malibu-village-gading-serpong-siap-huni-oleh-richard-allan-21727376,"Jalan Malibu Village Gading Serpong Tangerang, Gading Serpong, Tangerang Selatan, Banten",2.0,2.0,63 m²,"1,3425 M"
9469,https://www.rumah.com/listing-properti/dijual-pamulang-timur-banten-oleh-yon-ik-20753299,"Pamulang timur banten, Pamulang, Tangerang Selatan, Banten",4.0,3.0,160 m²,"2,2 M"
20118,https://www.rumah.com/listing-properti/dijual-dijual-rumah-bagus-di-emerald-bintaro-sektor-9-bintaro-jaya-oleh-gito-20862523,"Emerald Bintaro , Sektor 9 Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",5.0,4.0,200 m²,"3,2 M"
