,url,location,bed,bath,area,price
26647,https://www.rumah.com/listing-properti/dijual-rumah-di-jual-siap-huni-strategis-di-bsd-oleh-cicilia-21624671,"BSD, BSD, Tangerang Selatan, Banten",3.0,2.0,120 m²,"3,3 M"
1341,https://www.rumah.com/listing-properti/dijual-cluster-benda-barat-2-pamulang-oleh-yunis-wirani-17764609,"Benda Barat 2, Pamulang, Tangerang Selatan, Banten",2.0,1.0,34 m²,465 jt
16338,https://www.rumah.com/listing-properti/dijual-dijual-rumah-cantik-2-lantai-dalam-komplek-villa-bintaro-regensi-tangsel-oleh-erna-wati-21720528,"Bintaro, Tangerang Selatan, Banten",4.0,1.0,175 m²,"1,65 M"
15618,https://www.rumah.com/listing-properti/dijual-rumah-dijual-residence-one-tangerang-oleh-yohanes-santoso-21726691,"Serpong Utara, Tangerang Selatan, Banten",4.0,3.0,156 m²,"2,25 M"
17311,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-di-foresta-bsd-oleh-meta-anggraeni-21711247,"BSD, Tangerang Selatan, Banten",4.0,3.0,90 m²,"2,35 M"
2732,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-cluster-visana-the-savia-bsd-city-oleh-sandy-21816298,"Ciater, Tangerang Selatan, BSD, BSD, Tangerang Selatan, Banten",3.0,2.0,90 m²,"1,85 M"
14756,https://www.rumah.com/listing-properti/dijual-dijual-rumah-cantik-siap-huni-di-bintaro-sektor-9-oleh-kenny-21311183,"Bintaro, Tangerang Selatan, Banten",5.0,4.0,144 m²,"3,3 M"
20777,https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-dekat-stan-dan-toll-di-sektor-5-bintaro-sc-10253-oleh-ade-muliana-21676714,"Sektor 5 Bintaro, Bintaro, Tangerang Selatan, Banten",2.0,3.0,110 m²,"2,6 M"
3397,https://www.rumah.com/listing-properti/dijual-lokasi-paling-strategis-harga-nggak-bikin-nangis-oleh-rae-21549472,"jl.benda 11,Pamulang 2,tangsel, Ciputat, Tangerang Selatan, Banten",3.0,2.0,50 m²,"644,000001 jt"
8924,https://www.rumah.com/listing-properti/dijual-di-jual-via-lelang-perumahan-bintaro-jaya-blok-pb-15-no-2-bintaro-jaya-9-tangerang-selatan-luas-t-oleh-danis-21631057,"Bintaro, Tangerang Selatan, Banten",3.0,2.0,250 m²,"3,65 M"
27750,https://www.rumah.com/listing-properti/dijual-harvest-serpong-residence-oleh-erick-malko-11795288,"Jalan PDAM, Serpong, Tangerang Selatan, Banten",2.0,2.0,73 m²,"1,428 M"
25461,https://www.rumah.com/listing-properti/dijual-nusaloka-oleh-billy-wijaya-19247447,"Jln Nias Raya, BSD, Tangerang Selatan, Banten",3.0,3.0,100 m²,"1,5 M"
5530,https://www.rumah.com/listing-properti/dijual-jual-cepatt-the-avani-bsd-oleh-lilik-20383133,"Bintaro, Tangerang Selatan, Banten",4.0,4.0,120 m²,"3,3 M"
7127,https://www.rumah.com/listing-properti/dijual-serpong-rumah-idaman-termurah-hanya-500-jutaan-di-serpong-paradise-city-mojoo-residence-bintaro-oleh-bunga-salsabila-21792088,"Bintaro, Serpong, Tangerang Selatan, Banten",3.0,2.0,55 m²,500 jt
24349,https://www.rumah.com/listing-properti/dijual-dijual-rumah-bisa-untuk-kost-an-daerah-bintaro-oleh-jackline-chrisye-hasan-21193278,"DAERAH BINTARO JAKARTA SELATAN, Bintaro, Tangerang Selatan, Banten",10.0,7.0,500 m²,"3,8 M"
7073,https://www.rumah.com/listing-properti/dijual-beli-rumah-dua-lantai-dekat-toll-oleh-erna-21695588,"Jl kebon kopi pengasinan gunung Sindur, Serpong, Tangerang Selatan, Banten",3.0,3.0,73 m²,750 jt
1997,https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-casa-palma-bintaro-jaya-sektor-9-oleh-edwin-bright-21819023,"Bintaro, Tangerang Selatan, Banten",3.0,2.0,94 m²,"1,5 M"
26785,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-taman-puri-bintaro-sektor-9-tangerang-selatan-oleh-sardan-21094125,"Bintaro, Tangerang Selatan, Banten",4.0,5.0,380 m²,6 M
205,https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-de-nara-bsd-city-mewah-lantai-2-oleh-aizh-21398432,"De Nara Bsd Cityan, BSD, Tangerang Selatan, Banten",5.0,5.0,650 m²,10 M
22820,https://www.rumah.com/listing-properti/dijual-gading-serpong-virginia-oleh-novita-21655832,"Gading Serpong Virginia, Gading Serpong, Tangerang Selatan, Banten",1.0,2.0,60 m²,"1,3 M"
15896,https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-lokasi-strategis-bintaro-jaya-sektor-5-oleh-endang-kumalasari-21716295,"Bintaro, Tangerang Selatan, Banten",5.0,3.0,150 m²,"1,8 M"
14248,https://www.rumah.com/listing-properti/dijual-dijual-rumah-assana-starlight-vanya-park-di-bsd-city-tangerang-oleh-angeline-warti-21741253,"Assana Starlight @Vanya Park, BSD City, Tangerang, BSD, Tangerang Selatan, Banten",2.0,2.0,52 m²,"1,854 M"
27739,https://www.rumah.com/listing-properti/dijual-delatinos-boutique-soho-oleh-rini-19600665,"jalan Raya Rawa buntu, BSD, Tangerang Selatan, Banten",3.0,3.0,150 m²,"1,7 M"
17036,https://www.rumah.com/listing-properti/dijual-rumah-mewah-di-sektor-7-bintaro-jaya-12-m-4013-oc-oleh-roni-21714409,"Bintaro, Tangerang Selatan, Banten",4.0,4.0,400 m²,12 M
6677,https://www.rumah.com/listing-properti/dijual-rumah-mewah-2-lantai-griya-jayyid-cuma-500jutan-lokasi-di-pamulang-oleh-ahmad-yusuf-lubis-21795078,"jln,Swadaya Pondok Benda Pamulang, Ciputat Timur, Tangerang Selatan, Banten",3.0,2.0,65 m²,599 jt
3463,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-di-vanya-park-bsd-oleh-emil-fajar-21812643,"BSD, Tangerang Selatan, Banten",2.0,2.0,66 m²,"1,9 M"
15794,https://www.rumah.com/listing-properti/dijual-jual-rumah-2-lantai-bebas-banjir-di-kebayoran-bintaro-jaya-sc-9511-oleh-ade-muliana-21725938,"Kebayoran Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",3.0,3.0,172 m²,"3,4 M"
28282,https://www.rumah.com/listing-properti/dijual-tabebuya-bsd-oleh-lynda-21037752,"Jl. Lengkong Kulon, Pagedangan, Tangerang Selatan, Banten, Pagedangan, Tangerang Selatan, Banten",2.0,2.0,48 m²,"1,225 M"
21689,https://www.rumah.com/listing-properti/dijual-fresco-at-virginia-village-gading-serpong-oleh-ari-kurniawan-sepriansyah-21667510,"Gading serpong, Gading Serpong, Tangerang Selatan, Banten",2.0,2.0,55 m²,830 jt
25479,https://www.rumah.com/listing-properti/dijual-rumah-di-jual-di-sektor-7c-oleh-esther-widjaja-17578853,"Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",3.0,2.0,180 m²,"2,5 M"
6901,https://www.rumah.com/listing-properti/dijual-rumah-nyaman-asri-strategis-di-perumahan-pamulang-permai-tangerang-selatan-oleh-romi-ramdhani-21794153,"Pamulang, Tangerang Selatan, Banten",3.0,2.0,80 m²,750 jt
5568,https://www.rumah.com/listing-properti/dijual-rumah-dijual-siap-huni-di-permata-bintaro-sektor-9-hook-sirkulasi-udara-dan-cahaya-baik-fr-oleh-eko-karsono-19965363,"Jl. Vania , Jombang, Kec. Ciputat, Ciputat, Tangerang Selatan, Banten",3.0,2.0,56 m²,"1,9 M"
11425,https://www.rumah.com/listing-properti/dijual-mabbruk-jaya-residen-oleh-hambali-19346736,"Jln.pendidikan, Pamulang, Tangerang Selatan, Banten",2.0,1.0,45 m²,400 jt
4248,https://www.rumah.com/listing-properti/dijual-rumah-giriloka-bsd-ervnda-oleh-karina-21808823,"Guriloka Bsd, BSD, Tangerang Selatan, Banten",6.0,5.0,350 m²,"3,9 M"
28835,https://www.rumah.com/listing-properti/dijual-serenade-lake-gading-serpong-oleh-andi-21587359,"Serenade lake, Gading Serpong, Tangerang Selatan, Banten",4.0,4.0,108 m²,2 M
870,https://www.rumah.com/listing-properti/dijual-rumah-dijual-cepat-murah-tanah-luas-di-bintaro-jaya-sektor-9-oleh-anda-21490942,"Jalan Bintaro Jaya Sektor 9 Tangerang Selatan, Bintaro, Tangerang Selatan, Banten",5.0,4.0,200 m²,"2,7 M"
8694,https://www.rumah.com/listing-properti/dijual-rumah-pamulang-estate-bagus-bebas-banjir-oleh-dadang-rosniandar-dadang-drd-20985296,"jl pamulang estate, Pamulang, Tangerang Selatan, Banten",3.0,2.0,90 m²,850 jt
28318,https://www.rumah.com/listing-properti/dijual-komplek-pertamina-pondok-ranji-ciputat-timur-oleh-siti-komariah-18788474,"Komplek Pertamina, Pondok Ranji, Ciputat Timur, Ciputat Timur, Tangerang Selatan, Banten",6.0,4.0,400 m²,"3,35 M"
27999,https://www.rumah.com/listing-properti/dijual-summarecon-serpong-cluster-ruby-oleh-lydia-ririe-21596525,"Jl Raya Terusan PHG, Curug Singereng, Serpong, Serpong, Tangerang Selatan, Banten",4.0,3.0,160 m²,80 jt
24,https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-cluster-trimezia-oleh-vonni-21382482,"Gading Serpong, Tangerang Selatan, Banten",3.0,3.0,240 m²,3 M
3345,https://www.rumah.com/listing-properti/dijual-bintaro-punai-oleh-ida-murni-19662256,"Jl Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",4.0,4.0,300 m²,"6,5 M"
15149,https://www.rumah.com/listing-properti/dijual-bintaro-oleh-ria-butar-butar-20446034,"Villa Bintaro regency, Bintaro, Tangerang Selatan, Banten",4.0,4.0,250 m²,"1,75 M"
16384,https://www.rumah.com/listing-properti/dijual-dijual-rumah-2-lantai-ciater-permai-oleh-nilawati-21686668,"Ciater permai, BSD, Tangerang Selatan, Banten",7.0,2.0,200 m²,"1,25 M"
6013,https://www.rumah.com/listing-properti/dijual-rumah-mewah-desain-classic-cluster-elite-di-bukit-menteng-bintaro-jaya-sektor-7-oleh-ika-indayanti-21774030,"Bintaro, Tangerang Selatan, Banten",7.0,9.0,1150 m²,23 M
15141,https://www.rumah.com/listing-properti/dijual-pondok-cabe-tangsel-oleh-alia-nurfallah-21732205,"Jl raya pondok cabe pamulang timur tangsel, Pamulang, Tangerang Selatan, Banten",3.0,3.0,115 m²,1 M
6598,https://www.rumah.com/listing-properti/dijual-the-green-bsd-oleh-regina-hakim-21795427,"the green, BSD, Tangerang Selatan, Banten",3.0,3.0,330 m²,"5,75 M"
13826,https://www.rumah.com/listing-properti/dijual-rumah-dijual-mewah-dijual-di-alam-sutera-tangerang-selatan-oleh-abadi-david-20285839,"Jl. Alam Sutera Boulevard, Alam Sutera, Tangerang Selatan, Banten",5.0,5.0,700 m²,"9,4 M"
26932,https://www.rumah.com/listing-properti/dijual-rumah-serpong-dijual-dengan-harga-perdana-oleh-endhi-widyo-utomo-21323182,"Serpong, Tangerang Selatan, Banten",3.0,2.0,70 m²,"1,300000001 M"
17084,https://www.rumah.com/listing-properti/dijual-hot-sale-permata-bintaro-oleh-santi-21286245,"Bintaro, Tangerang Selatan, Banten",2.0,1.0,60 m²,"1,29 M"
5839,https://www.rumah.com/listing-properti/dijual-bsd-city-serpong-oleh-dino-21806164,"Jl Bumi Foresta Raya BSD, Alam Sutera, Tangerang Selatan, Banten",3.0,2.0,84 m²,850 jt
9041,https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-di-perumahan-alfalah-3-pamulang-oleh-syarifuddin-20813660,"Jalan salak raya depan Villa Dago, Pamulang, Tangerang Selatan, Banten",2.0,1.0,45 m²,650 jt
27147,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-sutera-pelangi-alam-sutera-oleh-adrian-ong-21559735,"Alam Sutera, Tangerang Selatan, Banten",6.0,5.0,450 m²,"6,8 M"
16547,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-di-greenwich-park-oleh-meta-anggraeni-21719384,"BSD, Tangerang Selatan, Banten",3.0,2.0,70 m²,"1,575 M"
3199,https://www.rumah.com/listing-properti/dijual-rumah-di-fresco-virginia-harga-800jtan-di-gading-serpong-minimalis-oleh-antoni-21813825,"gading serpong, Gading Serpong, Tangerang Selatan, Banten",2.0,2.0,41 m²,800 jt
17504,https://www.rumah.com/listing-properti/dijual-bsd-oleh-leni-susanto-21709484,"BSD, Tangerang Selatan, Banten",4.0,3.0,200 m²,"4,5 M"
8795,https://www.rumah.com/listing-properti/dijual-dijual-rumah-bagus-strategis-di-pondok-aren-bintaro-oleh-amalia-21383810,"Bintaro, Tangerang Selatan, Banten",3.0,3.0,80 m²,970 jt
23502,https://www.rumah.com/listing-properti/dijual-jurang-mangu-timur-oleh-zarkasih-19756229,"Jalan kakatua komplek pajak, Pondok Aren, Tangerang Selatan, Banten",3.0,2.0,85 m²,"1,1 M"
14721,https://www.rumah.com/listing-properti/dijual-bintaro-jaya-oleh-vivi-siregar-21407700,"Permata Bintaro, Bintaro, Tangerang Selatan, Banten",4.0,3.0,160 m²,"2,35 M"
3304,https://www.rumah.com/listing-properti/dijual-dijual-rumah-bintaro-kebayoran-felixika-oleh-felix-20837328,"Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",9.0,4.0,475 m²,"8,75 M"
14675,https://www.rumah.com/listing-properti/dijual-serpong-garden-2-oleh-lilha-21737301,"Serpong, Tangerang Selatan, Banten",2.0,1.0,84 m²,800 jt
7039,https://www.rumah.com/listing-properti/dijual-bsd-oleh-muhammad-nur-21793073,"Nusa Loka Bsd, BSD, Tangerang Selatan, Banten",4.0,3.0,140 m²,"1,575 M"
1205,https://www.rumah.com/listing-properti/dijual-d-hills-residence-pamulang-oleh-ahmad-yusuf-lubis-21781741,"jln.Villa Pamulang, Pamulang, Tangerang Selatan, Banten",3.0,3.0,84 m²,963 jt
26815,https://www.rumah.com/listing-properti/dijual-bintaro-jaya-oleh-vivi-siregar-21407461,"Discovery Bintaro, Bintaro, Tangerang Selatan, Banten",6.0,4.0,250 m²,"3,95 M"
13839,https://www.rumah.com/listing-properti/dijual-bintaro-jaya-sektor-7-kebayoran-residence-oleh-boy-rizal-21244128,"Bintaro, Tangerang Selatan, Banten",5.0,3.0,365 m²,"9,8 M"
23672,https://www.rumah.com/listing-properti/dijual-american-classic-style-oleh-m-rizky-maulana-21084638,"Ciputat Timur, Tangerang Selatan, Banten",4.0,4.0,145 m²,"1,8 M"
4279,https://www.rumah.com/listing-properti/dijual-perumahan-magani-residence-4-dekat-kampus-unpam-oleh-ogi-irawan-21511470,"jalan lele 5, Pamulang, Tangerang Selatan, Banten",3.0,2.0,66 m²,800 jt
6562,https://www.rumah.com/listing-properti/dijual-dijual-rumah-regensi-melati-mas-siap-huni-oleh-linda-21795556,"Serpong, Tangerang Selatan, Banten",2.0,1.0,42 m²,825 jt
15020,https://www.rumah.com/listing-properti/dijual-rumah-dijual-sektor-1-gading-serpong-sudah-renovasi-total-oleh-lina-21521189,"Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",4.0,3.0,160 m²,"2,4 M"
2933,https://www.rumah.com/listing-properti/dijual-bsd-oleh-muhammad-nur-21165129,"Jl.masjid Ciater Bsd, BSD, Tangerang Selatan, Banten",4.0,4.0,120 m²,"1,35 M"
13819,https://www.rumah.com/listing-properti/dijual-oleh-endang-kumalasari-21744796,"Discovery Bintaro Sektor 9, Bintaro, Tangerang Selatan, Banten",7.0,5.0,200 m²,4 M
21458,https://www.rumah.com/listing-properti/dijual-delatinos-bahamas-bsd-kode85-oleh-fifi-21567512,"Bahamas, BSD, Tangerang Selatan, Banten",4.0,5.0,527 m²,10 M
5867,https://www.rumah.com/listing-properti/dijual-nara-village-oleh-meni-lie-21007779,"Nara Village, Jalan Proklamasi, Gading Serpong, Tangerang, Gading Serpong, Tangerang Selatan, Banten",3.0,2.0,119 m²,"3,1 M"
13805,https://www.rumah.com/listing-properti/dijual-rumah-murah-tanggerang-selatan-oleh-philip-21720747,"Ciputat, Tangerang Selatan, Banten",2.0,2.0,63 m²,"1,6 M"
10539,https://www.rumah.com/listing-properti/dijual-dijual-rumah-cantik-rapi-siap-huni-di-sevilla-kl0003-oleh-jennifer-19576082,"BSD, Tangerang Selatan, Banten",5.0,4.0,300 m²,"3,2 M"
26544,https://www.rumah.com/listing-properti/dijual-serpong-oleh-deasy-l-21625325,"Regensi Melati Mas, Serpong, Tangerang Selatan, Banten",2.0,1.0,60 m²,670 jt
21936,https://www.rumah.com/listing-properti/dijual-pamulang-oleh-indra-fahreza-18584854,"Jalan raya pondok petir Bojongsari depok, Pamulang, Tangerang Selatan, Banten",2.0,1.0,49 m²,"967,5 jt"
9493,https://www.rumah.com/listing-properti/dijual-rumah-dijual-siap-huni-ciputat-timur-dekat-lebak-bulus-oleh-tiara-21185495,"Ciputat, Tangerang Selatan, Banten",3.0,2.0,115 m²,"1,8 M"
4021,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-aspenpark-serpong-harga-mulai-800-jutaan-oleh-fitria-andriyani-21420199,"Jl.Benosa, Buaran, Serpong, Tangerang Selatan, Serpong, Tangerang Selatan, Banten",2.0,1.0,36 m²,800 jt
2955,https://www.rumah.com/listing-properti/dijual-brand-new-dekat-aeon-mall-cluster-illustria-the-eminent-bsd-oleh-adul-21814860,"Jl. Majiore Ave, Serpong, Tangerang Selatan, Banten",4.0,4.0,220 m²,"5,3 M"
25978,https://www.rumah.com/listing-properti/dijual-dijual-rumah-murah-siap-huni-dalam-cluster-premium-di-bsd-city-tangerang-oleh-sri-aisah-malik-21104789,"BSD, Tangerang Selatan, Banten",4.0,4.0,150 m²,"3,25 M"
16889,https://www.rumah.com/listing-properti/dijual-cluster-taman-permata-2-bintaro-jaya-sektor-9-oleh-ratih-shinta-wardhani-20734793,"Bintaro, Tangerang Selatan, Banten",3.0,2.0,66 m²,"1,5 M"
23148,https://www.rumah.com/listing-properti/dijual-caribbean-flamingo-terbaru-the-spring-summarecon-serpong-3man-luxury-megah-segera-milikki-rumah-ida-oleh-ari-kurniawan-sepriansyah-21651939,"Cihuni, Kec. Pagedangan, Tangerang, Banten 15332, Serpong Utara, Tangerang Selatan, Banten",3.0,3.0,132 m²,"2,94 M"
29,https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-di-sektor-6-oleh-vonni-21401148,"Gading Serpong, Tangerang Selatan, Banten",2.0,1.0,50 m²,900 jt
28957,https://www.rumah.com/listing-properti/dijual-lancewood-lebar-10-navapark-bsd-oleh-deven-baldwin-20838916,"BSD, Tangerang Selatan, Banten",5.0,5.0,285 m²,"7,8 M"
7225,https://www.rumah.com/listing-properti/dijual-rumah-terawat-lokasi-strategis-dekat-tol-di-bintaro-oleh-rambo-20707991,"Bintaro, Bintaro, Tangerang Selatan, Banten",3.0,2.0,120 m²,"1,6 M"
27612,https://www.rumah.com/listing-properti/dijual-rumah-sultan-enchante-bsd-city-rumah-mewah-dibsd-lengkapi-dengan-lift-oleh-gaspro-21601030,"Lengkong Kulon, Kabupaten Tangerang, Banten, Alam Sutera, Tangerang Selatan, Banten",5.0,7.0,398 m²,11 M
10540,https://www.rumah.com/listing-properti/dijual-pamulang-oleh-alif-fajar-21769446,"Pamulang, Tangerang Selatan, Banten",2.0,1.0,45 m²,558 jt
21698,https://www.rumah.com/listing-properti/dijual-ciater-bsd-city-oleh-alia-nurfallah-21026075,"Jl ciater maruga bsd city, BSD, Tangerang Selatan, Banten",3.0,2.0,125 m²,"1,29 M"
19410,https://www.rumah.com/listing-properti/dijual-jual-rumah-serpong-oleh-artha-21689969,"Villa Mutiara Serpong, Serpong, Tangerang Selatan, Banten",2.0,1.0,54 m²,620 jt
18945,https://www.rumah.com/listing-properti/dijual-giri-loka-2-bsd-oleh-imanuel-20712825,"Giri loka, BSD, Tangerang Selatan, Banten",4.0,3.0,250 m²,4 M
28954,https://www.rumah.com/listing-properti/dijual-dijual-cepat-lokasi-depan-club-house-sutera-leora-oleh-liawati-21300381,"Serpong Utara, Tangerang Selatan, Banten",5.0,4.0,126 m²,"3,7 M"
26809,https://www.rumah.com/listing-properti/dijual-rumah-murah-dijual-cepat-di-paradise-serpong-city-siap-huni-oleh-irfan-fahreza-21622572,"Paradise Serpong City, Setu, Tangerang Selatan, Banten",2.0,1.0,50 m²,840 jt
14868,https://www.rumah.com/listing-properti/dijual-jual-rumah-bagus-bisa-buat-usaha-pinggir-jalan-raya-bintaro-oleh-linka-21734940,"Bintaro, Tangerang Selatan, Banten",7.0,6.0,550 m²,"12,5 M"
10125,https://www.rumah.com/listing-properti/dijual-gading-serpong-matera-residence-oleh-telly-21042168,"Gading Serpong, Tangerang Selatan, Banten",4.0,3.0,208 m²,"6,2 M"
19916,https://www.rumah.com/listing-properti/dijual-rumah-dijual-nego-sampai-jadi-di-rajawali-bintaro-jaya-sektor-9-iz-oleh-rina-yulianita-20893589,"Pondok Aren, Tangerang Selatan, Banten",3.0,2.0,72 m²,"1,55 M"
26512,https://www.rumah.com/listing-properti/dijual-griyaloka-1-4-bsd-city-oleh-nurul-hidayati-20748211,"BSD, Tangerang Selatan, Banten",4.0,3.0,160 m²,"2,6 M"
15871,https://www.rumah.com/listing-properti/dijual-rumah-nyaman-dan-kokoh-di-bintaro-oleh-lilis-yuliana-21724960,"Bintaro, Tangerang Selatan, Banten",5.0,4.0,218 m²,"2,6 M"
3519,https://www.rumah.com/listing-properti/dijual-graha-raya-dammara-rumah-dekat-nykka-alam-sutera-oleh-ferdi-20790624,"CBD Silk Town, Alam Sutera, Tangerang Selatan, Banten",5.0,4.0,135 m²,"3,4 M"
27228,https://www.rumah.com/listing-properti/dijual-4-bedrooms-rumah-bsd-tangerang-selatan-banten-oleh-isna-surya-18089896,"BSD, Tangerang Selatan, Banten",4.0,5.0,280 m²,"7,1 M"
22846,https://www.rumah.com/listing-properti/dijual-for-sale-rumah-cantik-di-menteng-bintaro-ada-kolam-renang-1309-ea-ry-oleh-rahma-20866507,"Bintaro, Tangerang Selatan, Banten",4.0,2.0,450 m²,8 M
7246,https://www.rumah.com/listing-properti/dijual-rumah-megah-hook-di-bintaro-jaya-sektor-1-jakarta-selatan-bu-oleh-yus-betty-21791679,"Bintaro, Tangerang Selatan, Banten",8.0,4.0,464 m²,"7,5 M"
536,https://www.rumah.com/listing-properti/dijual-dijual-rumah-bagus-asri-ada-taman-halaman-depan-belakang-rumah-di-komplek-deplu-pondok-aren-tangeran-oleh-kristiyanti-21625321,"Deplu Pondok Aren, Pondok Aren, Tangerang Selatan, Banten",4.0,,180 m²,"2,8 M"
17391,https://www.rumah.com/listing-properti/dijual-flamingo-gading-serpong-oleh-linna-s-17938286,"Gading Serpong, Tangerang Selatan, Banten",3.0,3.0,144 m²,"3,6 M"
9627,https://www.rumah.com/listing-properti/dijual-blossom-park-oleh-okky-susanto-18046204,"Jl raya bsd parung, BSD, Tangerang Selatan, Banten",2.0,1.0,60 m²,1 M
8696,https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-di-emerald-bintaro-jaya-sek-9-oleh-dadang-rosniandar-dadang-drd-20094557,"jln emerald boulevard, Bintaro, Tangerang Selatan, Banten",4.0,3.0,350 m²,"4,3 M"
8615,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-sutera-flamboyan-l7-alam-sutera-oleh-dadih-yo-20110954,"Sutera Flamboyan Alam Sutera, Alam Sutera, Tangerang Selatan, Banten",4.0,3.0,160 m²,"2,5 M"
3726,https://www.rumah.com/listing-properti/dijual-rumah-dijual-murah-di-jln-cimandiri-7-cipayung-ciputat-oleh-jodi-18397797,"Jl. Cimandiri Cipayung Ciputat, Ciputat, Tangerang Selatan, Banten",4.0,2.0,80 m²,790 jt
21552,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-di-kencana-loka-bsd-oleh-meta-anggraeni-21668496,"BSD, Tangerang Selatan, Banten",3.0,2.0,120 m²,"2,1 M"
6499,https://www.rumah.com/listing-properti/dijual-cluster-graha-bintaro-jaya-oleh-dede-21714739,"Cluster Graha Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",3.0,2.0,100 m²,"1,85 M"
1926,https://www.rumah.com/listing-properti/dijual-rumah-brand-new-dijual-murah-di-bintaro-sektor-3-oleh-amelia-putri-21819502,"Bintaro, Tangerang Selatan, Banten",4.0,4.0,120 m²,"1,5 M"
27385,https://www.rumah.com/listing-properti/dijual-soho-rumah-ruko-di-de-latinos-bsd-oleh-christo-21603692,"Boulevard Serpong, BSD, Tangerang Selatan, Banten",2.0,3.0,91 m²,"1,7 M"
20368,https://www.rumah.com/listing-properti/dijual-cirendeu-oleh-prihantoro-19278673,"Ciputat, Tangerang Selatan, Banten",3.0,4.0,150 m²,"2,5 M"
28491,https://www.rumah.com/listing-properti/dijual-rumah-full-furnished-di-kebayoran-bintaro-oleh-siti-komariah-18789635,"Kebayoran Bintaro Sektor 7, Bintaro, Tangerang Selatan, Banten",5.0,4.0,350 m²,"5,7 M"
3029,https://www.rumah.com/listing-properti/dijual-dijual-rumah-ilustria-kawasan-eminent-bsd-oleh-ripin-21270745,"., BSD, Tangerang Selatan, Banten",3.0,2.0,114 m²,"2,6 M"
21545,https://www.rumah.com/listing-properti/dijual-cluster-mozart-symphonia-gading-serpong-oleh-april-21668757,"Medang, Tangerang Regency, Serpong, Tangerang Selatan, Banten",5.0,4.0,213 m²,"6,2 M"
6480,https://www.rumah.com/listing-properti/dijual-rumah-ciputat-bukit-nusa-indah-tipe-95-oleh-dhidy-21287857,"Ciputat, Bintaro, Pondok Aren, Pamulang, Tangsel, Ciputat, Tangerang Selatan, Banten",3.0,2.0,95 m²,850 jt
19672,https://www.rumah.com/listing-properti/dijual-rumah-dua-lantai-siap-huni-free-biaya-shm-oleh-erieq-21150308,"Jl Raya BSD Tembusan Viktor, BSD, Tangerang Selatan, Banten",3.0,2.0,55 m²,"954,5 jt"
10985,https://www.rumah.com/listing-properti/dijual-rumah-dijual-mewah-cluster-onyx-alam-sutera-oleh-lidya-21766253,"Alam Sutera, Tangerang Selatan, Banten",5.0,5.0,700 m²,"9,4 M"
1308,https://www.rumah.com/listing-properti/dijual-bukit-menteng-bintaro-jaya-oleh-vie-21318394,"Teuku Umar, Bintaro, Tangerang Selatan, Banten",6.0,4.0,450 m²,"9,999999 M"
15350,https://www.rumah.com/listing-properti/dijual-rumah-dijual-disewa-lakewood-navapark-bsd-furnished-oleh-nathalia-tunggawidjaja-21055803,"BSD, Tangerang Selatan, Banten",6.0,5.0,337 m²,15 M
20610,https://www.rumah.com/listing-properti/dijual-dijual-rumah-bagus-di-villa-cinere-mas-oleh-wayan-21675614,"Villa Cinere Mas, Ciputat Timur, Tangerang Selatan, Banten",6.0,6.0,500 m²,"5,975 M"
2827,https://www.rumah.com/listing-properti/dijual-casa-de-ramos-pondok-cabe-pamulang-oleh-lukman-hakim-19838417,"Jalan Raya Pondok Cabe, Pamulang, Tangerang Selatan, Banten",3.0,2.0,105 m²,"2,13495 M"
27861,https://www.rumah.com/listing-properti/dijual-rumah-brand-new-siap-huni-dilokasi-strategis-kucica-bintaro-sektor-9-oleh-irwan-gunawan-20262314,"Kucica bintaro sektor 9, Pondok Aren, Tangerang Selatan, Banten",3.0,2.0,150 m²,"1,8 M"
8395,https://www.rumah.com/listing-properti/dijual-rumah-minimalis-mewah-cicilan-5jutaan-kpr-dp-cuma-5-lokasi-tangerang-selatan-pamulang-oleh-ahmad-yusuf-lubis-21790675,"jln.lele 5 Pamulang, Ciputat Timur, Tangerang Selatan, Banten",3.0,2.0,65 m²,899
