bed,bath,area,price,bintaro,ciputat,pamulang,raya,jl,sutera,cluster,SEKTOR,JAYA,SERPONG,LANTAI,DEKAT,MURAH
7.0,5.0,400,8000000000.0,1,0,0,0,1,0,0,1,1,0,0,0,0
3.0,2.0,52,1099000000.0,0,0,1,0,1,0,0,0,0,0,0,0,1
5.0,4.0,120,2650000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
4.0,3.0,200,3500000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
3.0,1.0,80,1450000000.0,0,0,0,0,0,0,1,0,0,0,0,0,1
3.0,2.0,55,650000000.0,0,1,0,0,0,0,0,0,0,0,1,0,0
4.0,3.0,140,2749999999.0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.0,3.0,150,3400000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,105,1395000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,4.0,250,8500000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0
4.0,4.0,210,2800000000.0,1,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2.0,92,1529000000.0,0,1,0,1,1,0,0,0,0,0,0,0,0
3.0,3.0,196,4744870000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.0,2.0,128,2100000000.0,1,1,0,0,1,0,0,0,0,0,0,0,0
2.0,3.0,200,4000000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.0,5.0,140,3500000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
2.0,1.0,60,670000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,73,1268550000.0,0,1,0,0,0,0,0,0,0,0,1,1,0
4.0,4.0,149,2000000000.0,0,1,0,1,1,0,0,0,0,0,0,1,0
4.0,3.0,250,3300000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,100,2300000000.0,1,0,0,0,1,0,0,1,0,0,0,0,0
2.0,2.0,152,2800000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,236,4750000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
4.0,3.0,129,3500000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,4.0,130,1900000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0
4.0,5.0,400,5900000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,4.0,216,11000000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
3.0,2.0,150,2900000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
5.0,2.0,180,2500000000.0,0,0,0,1,0,0,0,0,0,0,0,0,0
10.0,10.0,300,3500000000.0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,2.0,1000,13900000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,67,900000000.0,0,0,0,0,1,0,0,0,0,1,0,0,0
4.0,2.0,100,1450000000.0,0,0,0,0,0,0,0,0,0,0,1,1,0
4.0,2.0,80,1700000000.0,1,0,0,1,0,0,0,0,0,0,0,0,0
2.0,1.0,89,2520000000.0,0,0,0,1,0,0,1,0,0,1,0,0,0
3.0,3.0,220,3800000000.0,0,0,0,0,0,0,0,1,0,1,0,0,0
6.0,5.0,170,1600000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
5.0,4.0,152,2400000000.0,1,1,0,0,0,0,0,1,1,0,0,0,0
6.0,5.0,250,3850000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
2.0,2.0,55,1050000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,2.0,105,2900000000.0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.0,3.0,200,2500000011.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,1.0,60,465000000.0,0,0,1,0,0,0,0,0,0,0,0,0,1
3.0,3.0,115,1750000000.0,0,0,0,0,0,0,0,0,0,1,0,0,1
4.0,4.0,350,5800000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,250,6500000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,100,2000000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.0,3.0,250,2000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.0,3.0,180,3700000000.0,0,0,0,0,0,1,0,0,0,0,0,0,1
3.0,3.0,89,1259017000.0,0,0,0,0,0,0,0,0,0,1,1,1,0
3.0,2.0,138,2500000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,4.0,177,5900000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
2.0,1.0,107,1200000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,2.0,110,1550000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
3.0,2.0,79,1788500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,2.0,111,1600000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0
3.0,3.0,118,2000000000.0,0,1,0,1,1,0,0,0,0,0,0,0,0
2.0,1.0,65,1500000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,3.0,90,1600000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2.0,1.0,41,800000200.0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,2.0,102,1475000000.0,0,0,1,0,0,0,0,0,0,0,0,1,0
7.0,4.0,300,5975000000.0,1,0,0,0,0,0,0,0,1,0,0,0,0
3.0,3.0,70,800000000.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,60,1250000000.0,0,0,0,0,0,0,0,0,1,1,0,0,0
4.0,4.0,400,12000000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,105,1365000000.0,0,1,0,0,0,0,0,0,0,0,1,0,0
2.0,1.0,70,1300000000.0,1,0,0,0,0,0,0,1,0,0,0,1,0
4.0,3.0,180,3500000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
9.0,8.0,450,7500000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,5.0,146,3800000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,29,900000000.0,1,0,0,1,1,0,0,0,0,0,0,1,0
5.0,4.0,206,4250000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
2.0,1.0,43,380000000.0,0,0,1,0,1,0,0,0,0,0,0,0,1
8.0,6.0,280,6500000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,91,1850000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,4.0,200,3550000000.0,1,0,0,0,0,0,0,0,0,0,0,0,1
6.0,4.0,316,7556400000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,4.0,200,3300000000.0,1,0,0,0,0,0,0,0,1,0,0,0,0
4.0,4.0,180,2950000000.0,1,0,0,0,1,0,0,1,1,0,0,0,0
4.0,3.0,165,3670000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,70,1500000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0
4.0,3.0,150,3300000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
4.0,3.0,328,5300000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,89,2650000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.0,3.0,140,2750000000.0,1,0,0,0,0,0,0,1,0,0,1,0,0
3.0,1.0,100,2400000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
7.0,7.0,400,7890000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,130,1850000000.0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.0,4.0,296,4800000000.0,0,0,0,0,0,0,0,0,0,1,0,0,1
2.0,1.0,36,397000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,36,186000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.0,2.0,58,1500000000.0,1,0,0,0,0,0,0,0,1,0,0,0,0
4.0,3.0,154,1000000000.0,0,0,1,1,1,0,0,0,0,0,0,0,0
5.0,3.0,575,4500000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,65,1090000000.0,0,0,1,0,1,0,0,0,0,0,0,1,0
3.0,3.0,170,2400000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,120,2700000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,66,750000000.0,0,1,0,0,0,0,0,0,0,0,0,0,1
5.0,4.0,300,5000000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
